Pressure,Temperature,Density - CoolProp,Thermal Conductivity - CoolProp,Dynamic Viscosity - CoolProp,Density - GasPak,Thermal Conductivity - GasPak,Dynamic Viscosity - GasPak
20000000.0,91,43.088031210154746,0.12414471467268437,5.8427755894160605e-06,43.08107362576407,0.13480232271609538,6.6924422623682584e-06
20000000.0,92,42.66698013838353,0.12448547418836792,5.851648813762686e-06,42.662347152521448,0.1350178508955327,6.6824549144504323e-06
20000000.0,93,42.25321813414054,0.12485345303089039,5.860744769795715e-06,42.250835508056596,0.13525428120687449,6.6734304242944801e-06
20000000.0,94,41.84663364669627,0.12524733762504436,5.87006607766299e-06,41.846424905417535,0.13551080280404126,6.6653296166425069e-06
20000000.0,95,41.447112397060266,0.1256658493763308,5.879614500221964e-06,41.448999127108607,0.13578660747505233,6.6581152322068192e-06
20000000.0,96,41.05453787291531,0.12610774368814176,5.889391019563976e-06,41.058440023504261,0.13608089182095112,6.6517518170102309e-06
20000000.0,97,40.66879178664973,0.1265718089113413,5.899395909204399e-06,40.674627971904648,0.13639285919117372,6.6462056193702925e-06
20000000.0,98,40.28975449799525,0.12705686526067617,5.909628801917181e-06,40.297442297645816,0.13672172140275776,6.6414444938721237e-06
20000000.0,99,39.91730540282069,0.12756176372671485,5.920088753252501e-06,39.926761658832639,0.13706670025763926,6.6374378117496134e-06
20000000.0,100,39.55132328965863,0.1280853850069018,3.7759874235860343e-06,39.562464396380435,0.13742702887027475,6.6341563771463813e-06
20000000.0,101,39.19168666555846,0.1286266384747577,3.8096782627967915e-06,39.204428851135162,0.13780195282337665,6.6315723487833033e-06
20000000.0,102,38.83827405286012,0.12918446120223204,3.84323146645135e-06,38.852533649894973,0.13819073116721686,6.629659166606366e-06
20000000.0,103,38.490964258477696,0.12975781704665756,3.8766481215526405e-06,38.506657962182537,0.13859263727592527,6.6283914830311832e-06
20000000.0,104,38.149636617264804,0.1303456958106468,3.90992934541256e-06,38.16668172961942,0.13900695957307047,6.6277450984358205e-06
20000000.0,105,37.81417121100988,0.13094711248055593,3.943076282108234e-06,37.832485869737255,0.1394330021343155,6.6276969005868527e-06
20000000.0,106,37.48444906457926,0.13156110654678627,3.976090099136968e-06,37.503952456024884,0.13987008518646385,6.6282248077144954e-06
20000000.0,107,37.160352320687366,0.13218674140716338,4.0089719842632994e-06,37.180964875963227,0.14031754550703374,6.6293077149772905e-06
20000000.0,108,36.84176439473198,0.13282310385290735,4.041723142551343e-06,36.863407968739146,0.14077473673625057,6.6309254440783242e-06
20000000.0,109,36.52857011108459,0.1334693036352258,4.074344793575762e-06,36.551168144262327,0.1412410296055798,6.6330586958201429e-06
20000000.0,110,36.22065582217541,0.13412447310934705,4.1068381688045015e-06,36.244133485033579,0.14171581210423534,6.6356890053984541e-06
20000000.0,111,35.91790951165814,0.1347877669517827,4.139204509146616e-06,35.942193832334794,0.14219848956838543,6.6387987002554387e-06
20000000.0,112,35.62022088288367,0.1354583619457896,4.1714450626584315e-06,35.645240858128339,0.14268848472771223,6.6423708603250539e-06
20000000.0,113,35.32748143385374,0.13613545682935882,4.203561082401463e-06,35.353168123971223,0.14318523769030816,6.6463892805173648e-06
20000000.0,114,35.03958451976634,0.13681827219955295,4.235553824445509e-06,35.065871128165497,0.14368820588805065,6.650838435301673e-06
20000000.0,115,34.75642540420557,0.13750605046666928,4.267424546010526e-06,34.783212095724622,0.1441967935269208,6.6557005697544441e-06
20000000.0,116,34.477901299968785,0.13819805585147754,4.299174503740967e-06,34.505166490184216,0.14471064449861643,6.6609676275382105e-06
20000000.0,117,34.2039114004652,0.13889357441865352,4.330804952106404e-06,34.231594183328838,0.14522918397801315,6.6666225210381509e-06
